11/1,Hawks,Hornets,-140,120
11/1,Spurs,Celtics,-260,210
11/1,Bucks,Raptors,200,-240
11/1,Rockets,Heat,150,-170
11/1,Magic,Bulls,300,-365
11/1,Nuggets,Thunder,800,-1300
11/1,Mavericks,Lakers,-180,160
11/2,Cavaliers,76ers,-1450,850
11/2,Spurs,Knicks,-335,270
11/2,Bucks,Nets,-120,100
11/2,Thunder,Rockets,-180,160
11/2,Trail Blazers,Timberwolves,150,-170
11/2,Grizzlies,Warriors,380,-475
11/2,Suns,Clippers,369,-464
11/3,Bulls,Hornets,-170,150
11/3,Hawks,Heat,155,-175
11/3,Pacers,Pistons,165,-185
11/3,Magic,Pelicans,175,-205
11/3,Raptors,Mavericks,-135,115
11/3,Grizzlies,Kings,-185,165
11/3,Nuggets,Lakers,130,-150
11/4,Spurs,Wizards,-175,155
11/4,Celtics,Pacers,-129,109
11/4,Knicks,Cavaliers,525,-725
11/4,Nets,Hawks,280,-345
11/4,76ers,Bucks,325,-400
11/4,Magic,Rockets,400,-500
11/4,Raptors,Thunder,310,-380
11/4,Trail Blazers,Jazz,240,-300
11/4,Kings,Suns,405,-525
11/4,Clippers,Warriors,280,-345
11/5,Thunder,Bulls,-105,-115
11/5,Heat,Timberwolves,-180,160
11/5,Hornets,Mavericks,150,-170
11/5,Jazz,Nuggets,-150,130
11/5,Grizzlies,Trail Blazers,-185,165
11/6,Raptors,Magic,-240,200
11/6,Lakers,Nets,135,-155
11/6,Wizards,Celtics,105,-125
11/6,76ers,Cavaliers,950,-1650
11/6,Bucks,Knicks,100,-120
11/6,Heat,Pacers,-115,-105
11/6,Hawks,Pelicans,-140,120
11/6,Pistons,Suns,160,-180
11/6,Rockets,Kings,-200,170
11/6,Nuggets,Warriors,2000,-7000
11/7,Timberwolves,Bulls,380,-475
11/7,Magic,76ers,-145,125
11/7,Wizards,Hawks,175,-205
11/7,Hornets,Spurs,400,-520
11/7,Nets,Bucks,235,-285
11/7,Pelicans,Mavericks,190,-230
11/7,Grizzlies,Jazz,125,-145
11/7,Warriors,Kings,-1750,950
11/7,Rockets,Clippers,205,-245
11/8,Lakers,Knicks,205,-245
11/8,Pacers,Cavaliers,305,-370
11/8,Raptors,Heat,130,-150
11/8,Suns,Thunder,345,-425
11/8,Pistons,Trail Blazers,110,-130
11/9,Bulls,76ers,-725,525
11/9,Magic,Pacers,160,-180
11/9,Timberwolves,Hawks,325,-400
11/9,Trail Blazers,Nuggets,-120,100
11/9,Spurs,Kings,-340,275
11/9,Grizzlies,Clippers,230,-290
11/9,Pistons,Warriors,800,-1300
11/10,Thunder,Wizards,-290,230
11/10,Jazz,Cavaliers,195,-235
11/10,Lakers,Heat,575,-800
11/10,Knicks,Raptors,250,-315
11/10,Mavericks,Pelicans,125,-145
11/10,Hornets,Timberwolves,-165,145
11/10,Celtics,Bucks,-140,120
11/11,Lakers,Magic,305,-375
11/11,Raptors,76ers,-500,400
11/11,Knicks,Hornets,215,-265
11/11,Pacers,Celtics,140,-160
11/11,Clippers,Mavericks,-290,230
11/11,Pelicans,Hawks,850,-1450
11/11,Warriors,Grizzlies,-330,265
11/11,Nets,Rockets,700,-1000
11/11,Bucks,Nuggets,150,-170
11/11,Pistons,Kings,-125,105
11/11,Spurs,Trail Blazers,-250,210
11/12,Jazz,Heat,145,-165
11/12,Warriors,Timberwolves,-600,460
11/12,Clippers,Suns,120,-140
11/13,Jazz,Magic,-120,100
11/13,Timberwolves,Pacers,285,-355
11/13,Cavaliers,Knicks,-290,240
11/13,Pelicans,Raptors,465,-615
11/13,Hawks,Celtics,-115,-105
11/13,76ers,Thunder,960,-1360
11/13,Trail Blazers,Grizzlies,245,-295
11/13,Hornets,Bulls,235,-285
11/13,Lakers,Mavericks,280,-340
11/13,Rockets,Nuggets,-270,220
11/13,Nets,Kings,225,-275
11/14,Pistons,Clippers,120,-140
11/14,Magic,Wizards,195,-230
11/14,Mavericks,Rockets,280,-350
11/14,Cavaliers,Bucks,-235,200
11/14,76ers,Spurs,1855,-3105
11/14,Nuggets,Suns,265,-325
11/14,Nets,Warriors,1660,-2710
11/15,Pelicans,Knicks,105,-125
11/15,Grizzlies,Timberwolves,-185,160
11/15,Trail Blazers,Hornets,165,-190
11/15,Jazz,Hawks,135,-155
11/15,Celtics,Thunder,190,-225
11/15,Raptors,Kings,-125,105
11/15,Pistons,Lakers,-195,170
11/16,Mavericks,76ers,-405,325
11/16,Pacers,Bulls,230,-280
11/16,Celtics,Rockets,175,-205
11/16,Thunder,Grizzlies,120,-140
11/16,Trail Blazers,Spurs,735,-1035
11/16,Lakers,Suns,610,-810
11/17,Bucks,Wizards,140,-160
11/17,Hawks,Nets,-190,165
11/17,Timberwolves,Heat,330,-410
11/17,Cavaliers,Pistons,-190,165
11/17,Hornets,Knicks,-110,-110
11/17,Nuggets,Pelicans,205,-245
11/17,Raptors,Warriors,410,-535
11/18,Pacers,76ers,-265,215
11/18,Timberwolves,Magic,175,-205
11/18,Nets,Hornets,235,-285
11/18,Mavericks,Celtics,175,-205
11/18,Pelicans,Thunder,740,-1040
11/18,Trail Blazers,Rockets,240,-290
