11/1,Rockets,Cavaliers,420,-540
11/1,Lakers,Pacers,355,-450
11/1,Magic,76ers,-202,172
11/1,Knicks,Pistons,150,-170
11/1,Kings,Heat,145,-165
11/1,Grizzlies,Timberwolves,285,-350
11/1,Bucks,Pelicans,145,-165
11/1,Jazz,Spurs,435,-575
11/1,Warriors,Trail Blazers,-240,200
11/2,Raptors,Wizards,105,-125
11/2,76ers,Hornets,850,-1350
11/2,Rockets,Knicks,-105,-115
11/2,Lakers,Hawks,750,-1150
11/2,Pistons,Nets,-170,150
11/2,Pelicans,Grizzlies,175,-205
11/2,Bulls,Celtics,144,-164
11/2,Mavericks,Jazz,140,-160
11/2,Trail Blazers,Suns,-150,130
11/2,Thunder,Clippers,240,-300
11/3,Kings,Magic,-120,100
11/3,Celtics,Cavaliers,450,-700
11/3,Nuggets,Timberwolves,145,-165
11/3,Pacers,Bucks,-145,125
11/3,Thunder,Warriors,525,-850
11/4,Hawks,Wizards,100,-120
11/4,Hornets,Nets,-275,225
11/4,Heat,Raptors,240,-300
11/4,Knicks,Bulls,255,-320
11/4,Suns,Pelicans,125,-145
11/4,Clippers,Grizzlies,-235,195
11/4,Trail Blazers,Mavericks,-135,115
11/4,Spurs,Jazz,-165,145
11/4,Warriors,Lakers,-900,600
11/5,Timberwolves,Thunder,170,-200
11/5,Nuggets,Pistons,170,-200
11/5,Cavaliers,76ers,-1000,700
11/5,Wizards,Magic,220,-270
11/5,Bulls,Pacers,145,-165
11/5,Rockets,Hawks,135,-155
11/5,Kings,Bucks,145,-165
11/5,Clippers,Spurs,170,-200
11/6,Jazz,Knicks,-140,120
11/6,Trail Blazers,Grizzlies,-110,-110
11/6,Kings,Raptors,270,-330
11/6,Bucks,Mavericks,135,-155
11/6,Nuggets,Celtics,270,-330
11/6,Suns,Lakers,155,-175
11/7,Pacers,Hornets,120,-140
11/7,Rockets,Wizards,-105,-115
11/7,Jazz,76ers,-200,170
11/7,Heat,Thunder,190,-230
11/7,Magic,Bulls,240,-300
11/7,Pistons,Clippers,305,-375
11/7,Pelicans,Warriors,1700,-5000
11/8,Hawks,Cavaliers,300,-360
11/8,Timberwolves,Nets,-185,165
11/8,Nuggets,Grizzlies,145,-165
11/8,Suns,Trail Blazers,330,-400
11/8,Pelicans,Kings,240,-280
11/8,Mavericks,Lakers,165,-185
11/9,Timberwolves,Magic,120,-140
11/9,Nets,Knicks,300,-360
11/9,Celtics,Wizards,105,-125
11/9,Jazz,Hornets,130,-150
11/9,76ers,Pacers,650,-1000
11/9,Bulls,Hawks,140,-160
11/9,Raptors,Thunder,135,-155
11/9,Pistons,Suns,-180,160
11/9,Rockets,Spurs,350,-420
11/9,Trail Blazers,Clippers,500,-700
11/9,Mavericks,Warriors,1900,-9000
11/10,Pelicans,Bucks,175,-205
11/10,Bulls,Heat,-103,-117
11/10,Warriors,Nuggets,-270,220
11/10,Lakers,Kings,185,-215
11/11,Pacers,76ers,-210,175
11/11,Jazz,Magic,-200,170
11/11,Cavaliers,Wizards,-350,275
11/11,Raptors,Hornets,-115,-105
11/11,Knicks,Celtics,160,-180
11/11,Clippers,Thunder,-200,170
11/11,Pistons,Spurs,375,-550
11/11,Kings,Trail Blazers,270,-340
11/12,Celtics,Pacers,-125,105
11/12,Lakers,Pelicans,-115,-105
11/12,Knicks,Raptors,260,-320
11/12,76ers,Hawks,1200,-2500
11/12,Spurs,Rockets,-130,110
11/12,Clippers,Timberwolves,-220,180
11/12,Wizards,Bulls,425,-650
11/12,Jazz,Heat,-120,100
11/12,Grizzlies,Bucks,125,-145
11/12,Nets,Suns,170,-200
11/12,Pistons,Nuggets,175,-210
11/13,Hornets,Cavaliers,260,-320
11/13,Lakers,Timberwolves,-110,-110
11/13,Magic,Thunder,375,-550
11/13,Suns,Warriors,1500,-5000
11/13,Nuggets,Trail Blazers,265,-330
11/14,Magic,Pacers,290,-350
11/14,Thunder,Pistons,-120,100
11/14,Mavericks,Knicks,155,-175
11/14,Celtics,Pelicans,-165,145
11/14,76ers,Rockets,650,-1000
11/14,Heat,Spurs,550,-800
11/14,Grizzlies,Jazz,220,-260
11/14,Nets,Clippers,1500,-5000
11/15,Raptors,Cavaliers,210,-250
11/15,Hawks,Heat,-265,225
11/15,Hornets,Timberwolves,-120,100
11/15,Bulls,Trail Blazers,170,-190
11/15,Nets,Lakers,245,-290
11/16,Cavaliers,Pacers,130,-150
11/16,Pelicans,Magic,270,-330
11/16,Wizards,76ers,-290,245
11/16,Bucks,Hawks,190,-220
11/16,Mavericks,Celtics,210,-250
11/16,Pistons,Knicks,105,-125
11/16,Warriors,Raptors,-240,200
11/16,Rockets,Thunder,120,-140
11/16,Suns,Nuggets,165,-185
11/16,Spurs,Kings,-230,195
11/16,Grizzlies,Clippers,750,-1200
11/17,Knicks,Wizards,175,-200
11/17,Bucks,Heat,150,-170
11/17,Trail Blazers,Rockets,190,-220
11/17,76ers,Timberwolves,600,-900
11/17,Bulls,Jazz,135,-155
11/18,Suns,Pacers,155,-175
11/18,Hawks,Hornets,110,-130
11/18,Pistons,Cavaliers,350,-420
11/18,Nets,Thunder,400,-500
11/18,Warriors,Celtics,-400,330
11/18,Trail Blazers,Pelicans,-110,-110
11/18,Grizzlies,Mavericks,-175,155
11/18,Raptors,Nuggets,-160,140
11/18,Clippers,Kings,-370,310
