11/1,Trail Blazers,Bulls,-110,100
11/1,Raptors,Kings,200,-240
11/1,Spurs,Clippers,-380,310
11/2,Hawks,Cavaliers,-150,130
11/2,76ers,Wizards,125,-145
11/2,Celtics,Pistons,-290,245
11/2,Timberwolves,Heat,1850,-4600
11/2,Trail Blazers,Bucks,125,-145
11/2,Grizzlies,Lakers,400,-500
11/3,Pistons,Hawks,450,-600
11/3,Hornets,Nets,120,-140
11/3,Timberwolves,Magic,3000,-6500
11/3,Pacers,76ers,-140,120
11/3,Bucks,Celtics,320,-400
11/3,Pelicans,Rockets,180,-220
11/3,Mavericks,Nuggets,155,-175
11/3,Raptors,Jazz,500,-700
11/3,Spurs,Suns,-113,102
11/3,Grizzlies,Warriors,150,-170
11/3,Thunder,Clippers,-430,335
11/3,Lakers,Kings,-240,200
11/4,Knicks,Bulls,230,-270
11/4,Thunder,Trail Blazers,190,-230
11/5,Bucks,Pacers,125,-145
11/5,Nets,Magic,1900,-4000
11/5,Cavaliers,76ers,175,-210
11/5,Wizards,Knicks,200,-240
11/5,Hornets,Pistons,-102,-108
11/5,Bulls,Celtics,290,-350
11/5,Hawks,Timberwolves,-310,255
11/5,Heat,Pelicans,-270,230
11/5,Grizzlies,Suns,200,-240
11/5,Clippers,Nuggets,550,-750
11/5,Jazz,Warriors,-135,115
11/5,Raptors,Lakers,1125,-1700
11/6,Magic,Hornets,-300,250
11/6,Cavaliers,Wizards,160,-180
11/6,Nets,Heat,2000,-5250
11/6,Pelicans,Bucks,135,-155
11/6,Rockets,Spurs,230,-270
11/6,Nuggets,Mavericks,230,-270
11/6,Clippers,Jazz,650,-900
11/6,Raptors,Trail Blazers,736,-950
11/6,Grizzlies,Kings,175,-210
11/7,76ers,Knicks,250,-300
11/7,Suns,Hawks,190,-230
11/7,Warriors,Pistons,-135,115
11/7,Celtics,Thunder,115,-135
11/7,Timberwolves,Rockets,330,-420
11/7,Trail Blazers,Lakers,290,-350
11/8,Spurs,Hornets,-175,155
11/8,Warriors,Raptors,-107,-103
11/8,Hawks,Magic,340,-440
11/8,Nuggets,Bulls,110,-130
11/8,Suns,Grizzlies,170,-200
11/8,Celtics,Mavericks,140,-160
11/9,Nuggets,Pacers,-130,110
11/9,Cavaliers,Nets,120,-140
11/9,Jazz,Heat,450,-600
11/9,Knicks,Bucks,190,-230
11/9,Clippers,Pelicans,400,-500
11/9,Pistons,Trail Blazers,475,-650
11/9,Timberwolves,Lakers,1937,-4437
11/10,Jazz,Magic,500,-700
11/10,Bucks,Hawks,240,-280
11/10,Hornets,Raptors,-103,-107
11/10,Rockets,Wizards,-165,145
11/10,Nets,Cavaliers,160,-180
11/10,Warriors,Knicks,135,-155
11/10,Mavericks,Grizzlies,-107,-103
11/10,76ers,Thunder,350,-450
11/10,Clippers,Spurs,1150,-1800
11/10,Timberwolves,Kings,450,-600
11/11,Celtics,Heat,260,-320
11/11,Warriors,Bulls,250,-300
11/11,Lakers,Nuggets,-160,140
11/12,Jazz,Hawks,140,-160
