11/1,Grizzlies,Hornets,135,-160
11/1,Mavericks,Pelicans,-105,-115
11/1,Raptors,Magic,-235,195
11/1,Heat,76ers,-450,355
11/1,Bucks,Wizards,355,-450
11/1,Nets,Pistons,130,-150
11/1,Pacers,Hawks,500,-650
11/1,Bulls,Timberwolves,-130,110
11/1,Celtics,Rockets,290,-350
11/1,Nuggets,Thunder,-200,170
11/1,Suns,Jazz,-130,110
11/1,Lakers,Warriors,900,-1500
11/2,Kings,Clippers,380,-480
11/2,Raptors,Heat,110,-130
11/2,Hornets,Knicks,140,-165
11/2,Warriors,Trail Blazers,140,-165
11/3,Rockets,76ers,-850,600
11/3,Thunder,Nets,230,-275
11/3,Pelicans,Grizzlies,155,-180
11/3,Celtics,Mavericks,395,-515
11/3,Kings,Nuggets,240,-290
11/3,Jazz,Clippers,430,-550
11/4,Bucks,Pacers,150,-175
11/4,Thunder,Raptors,600,-900
11/4,Wizards,Knicks,-130,110
11/4,Rockets,Heat,117,-137
11/4,Magic,Bulls,460,-600
11/4,Hornets,Pelicans,155,-180
11/4,Cavaliers,Trail Blazers,-140,120
11/4,Suns,Lakers,-250,210
11/5,Magic,76ers,-145,125
11/5,Heat,Hornets,105,-125
11/5,Raptors,Celtics,110,-130
11/5,Timberwolves,Nets,180,-210
11/5,Knicks,Pistons,155,-180
11/5,Pacers,Wizards,405,-525
11/5,Bulls,Bucks,-210,180
11/5,Hawks,Spurs,315,-385
11/5,Grizzlies,Suns,100,-120
11/5,Cavaliers,Jazz,-230,195
11/5,Nuggets,Kings,135,-160
11/5,Clippers,Warriors,178,-208
11/6,Spurs,Rockets,245,-295
11/6,Mavericks,Trail Blazers,110,-130
11/7,Hawks,Hornets,105,-125
11/7,Timberwolves,Magic,-180,155
11/7,Bulls,76ers,-600,460
11/7,Pacers,Celtics,195,-230
11/7,Knicks,Nets,210,-250
11/7,Bucks,Pistons,176,-205
11/7,Wizards,Raptors,145,-170
11/7,Grizzlies,Thunder,-315,260
11/7,Kings,Suns,175,-205
11/7,Mavericks,Jazz,-150,130
11/7,Cavaliers,Nuggets,-276,231
11/8,Trail Blazers,Clippers,161,-190
11/8,Wizards,Pacers,-165,140
11/8,Knicks,Hawks,240,-290
11/8,Timberwolves,Heat,294,-359
11/8,Celtics,Bulls,380,-475
11/8,Warriors,Rockets,-160,135
11/8,Grizzlies,Bucks,-200,170
11/8,Pelicans,Spurs,265,-325
11/9,Magic,Nets,354,-448
11/9,Jazz,Pistons,150,-175
11/9,Kings,Thunder,-130,110
11/9,76ers,Raptors,900,-1600
11/9,Heat,Mavericks,300,-365
11/9,Warriors,Suns,125,-145
11/9,Nuggets,Trail Blazers,355,-450
11/9,Hornets,Lakers,-135,115
11/10,Pelicans,Cavaliers,210,-250
11/10,Jazz,Pacers,135,-160
11/10,Hawks,Knicks,-130,110
11/10,Pistons,Bulls,430,-550
11/10,Spurs,Clippers,115,-135
11/11,Magic,Raptors,525,-700
11/11,Lakers,Grizzlies,490,-640
11/11,Thunder,Bucks,110,-130
11/11,Kings,Mavericks,305,-375
11/11,Hornets,Trail Blazers,240,-290
11/11,Spurs,Warriors,280,-340
11/12,Pistons,Wizards,230,-275
11/12,Jazz,Hawks,264,-324
11/12,Thunder,Celtics,270,-330
11/12,Pacers,Heat,325,-400
11/12,Magic,Knicks,220,-265
11/12,Lakers,Pelicans,525,-700
11/12,Trail Blazers,Nuggets,130,-150
11/12,Nets,Suns,160,-185
11/12,Rockets,Timberwolves,-310,255
11/13,Bulls,Raptors,120,-140
11/13,Kings,Grizzlies,195,-235
11/13,76ers,Mavericks,1000,-1700
11/13,Nets,Warriors,455,-605
11/14,Bucks,Magic,125,-145
11/14,Nuggets,Pacers,120,-140
11/14,Heat,Hawks,174,-204
11/14,Jazz,Knicks,145,-170
11/14,Cavaliers,Celtics,-249,209
11/14,Timberwolves,Pelicans,305,-375
11/14,76ers,Rockets,1400,-4000
11/14,Pistons,Thunder,135,-160
11/14,Hornets,Suns,220,-265
11/14,Spurs,Lakers,-400,325
11/15,Magic,Wizards,378,-473
11/15,Jazz,Raptors,528,-730
11/15,Hawks,Cavaliers,250,-300
11/15,Pacers,Bulls,355,-440
11/15,Pistons,Grizzlies,380,-480
11/15,Timberwolves,Mavericks,576,-801
11/15,Spurs,Kings,-120,100
11/15,Nets,Trail Blazers,115,-135
11/15,Hornets,Warriors,525,-700
11/15,Suns,Clippers,251,-301
11/16,Nuggets,Knicks,110,-130
11/16,Bucks,Heat,180,-210
11/16,Rockets,Thunder,-209,179
11/16,Warriors,Lakers,-410,330
11/17,Nuggets,Cavaliers,650,-900
11/17,Mavericks,Hornets,-175,155
11/17,Magic,Pistons,170,-195
11/17,Heat,Nets,290,-360
11/17,Suns,Celtics,-125,105
11/17,Rockets,Grizzlies,160,-185
11/17,76ers,Spurs,2320,-4820
11/17,Pelicans,Trail Blazers,140,-160
11/17,Bulls,Clippers,250,-310
11/18,Lakers,Hawks,345,-425
11/18,Knicks,Bucks,105,-125
11/18,Thunder,Jazz,130,-150
11/18,Pelicans,Kings,130,-150
11/19,Mavericks,Wizards,-145,125
11/19,Spurs,Cavaliers,105,-125
11/19,Clippers,Magic,-205,175
11/19,Celtics,76ers,-250,210
11/19,Hornets,Pacers,115,-135
11/19,Suns,Pistons,-145,125
11/19,Bucks,Nets,235,-285
11/19,Grizzlies,Raptors,215,-255
11/19,Knicks,Timberwolves,-105,-115
11/19,Thunder,Nuggets,270,-330
11/19,Lakers,Rockets,450,-600
11/20,Clippers,Heat,-180,155
11/20,Bulls,Kings,126,-145
11/21,Suns,76ers,-470,370
11/21,Magic,Hornets,155,-175
11/21,Pistons,Hawks,210,-250
11/21,Bucks,Raptors,340,-430
11/21,Cavaliers,Wizards,-125,105
11/21,Celtics,Grizzlies,225,-275
11/21,Spurs,Timberwolves,-780,580
11/21,Nets,Thunder,105,-119
11/21,Lakers,Mavericks,485,-635
11/21,Pelicans,Nuggets,-145,125
11/21,Jazz,Warriors,665,-915
11/21,Bulls,Trail Blazers,305,-385
11/22,Heat,Magic,-125,105
11/22,Suns,Pacers,-135,115
11/22,Raptors,Cavaliers,130,-150
11/22,76ers,Knicks,600,-900
11/22,Kings,Timberwolves,-450,355
11/22,Mavericks,Rockets,-180,155
11/22,Nets,Spurs,500,-650
11/22,Wizards,Bucks,-160,135
11/22,Pelicans,Jazz,-140,120
11/23,Trail Blazers,Celtics,-195,166
11/23,Hornets,Heat,100,-120
11/23,Clippers,Grizzlies,110,-130
11/23,Warriors,Thunder,-375,305
11/23,Nuggets,Lakers,-130,110
11/24,Magic,Cavaliers,470,-650
11/24,Trail Blazers,76ers,-1200,800
11/24,Clippers,Hornets,-190,160
11/24,Suns,Raptors,165,-200
11/24,Knicks,Rockets,220,-260
11/24,Pacers,Mavericks,1000,-1800
11/24,Bulls,Jazz,-165,145
11/25,Hawks,Wizards,150,-175
11/25,Warriors,Heat,-350,290
11/25,Pistons,Bucks,144,-169
11/25,Kings,Pelicans,210,-250
11/25,Bulls,Nuggets,166,-195
11/26,Nets,76ers,-320,265
11/26,Wizards,Cavaliers,290,-355
11/26,Warriors,Magic,-395,320
11/26,Trail Blazers,Hornets,-265,220
11/26,Clippers,Pistons,-425,345
11/26,Raptors,Hawks,-165,140
11/26,Knicks,Mavericks,900,-1600
11/26,Bucks,Timberwolves,-115,-105
11/26,Kings,Rockets,180,-215
11/26,Jazz,Thunder,161,-190
11/26,Pacers,Spurs,900,-1400
