12/27/2011,Jazz,Lakers,0021100022,1610612762,1610612747,1,1.9,0.438,0.229,0.75,0.27,0.65,0.42,0.28,0.14,0.16,0.1,1.48,0.322,0.077,0.706,0.38,0.58,0.42,0.21,0.13,0.13,-0.52,200,-240
12/28/2011,Pacers,Raptors,0021100023,1610612754,1610612761,0,1.97,0.494,0.417,0.692,0.22,0.66,0.58,0.32,0.18,0.15,0.03,1.89,0.381,0.452,0.83,0.31,0.67,0.42,0.28,0.2,0.11,0.18,-175,155
12/28/2011,Heat,Hornets,0021100024,1610612748,1610612766,0,1.99,0.458,0.297,0.703,0.31,0.78,0.51,0.4,0.08,0.16,0.0,2.19,0.502,0.478,0.737,0.18,0.65,0.41,0.37,0.22,0.17,0.14,-800,600
12/28/2011,Wizards,Hawks,0021100025,1610612764,1610612737,1,2.16,0.435,0.457,0.821,0.29,0.71,0.46,0.29,0.18,0.09,0.56,1.74,0.404,0.304,0.679,0.15,0.59,0.3,0.31,0.19,0.1,-0.25,375,-475
12/28/2011,Cavaliers,Pistons,0021100026,1610612739,1610612765,0,1.75,0.404,0.4,0.813,0.2,0.49,0.34,0.34,0.17,0.09,-0.29,2.09,0.484,0.406,0.76,0.28,0.52,0.51,0.3,0.17,0.04,0.08,195,-235
12/28/2011,Thunder,Grizzlies,0021100027,1610612760,1610612763,0,1.84,0.425,0.217,0.692,0.29,0.66,0.32,0.39,0.15,0.08,-0.17,2.08,0.432,0.417,0.821,0.19,0.69,0.38,0.31,0.13,0.13,0.1,-120,100
12/28/2011,Celtics,Pelicans,0021100028,1610612738,1610612740,1,1.9,0.449,0.214,0.739,0.25,0.74,0.27,0.26,0.17,0.18,0.21,2.01,0.465,0.512,0.763,0.21,0.53,0.44,0.39,0.14,0.14,-0.2,-200,170
12/28/2011,Clippers,Spurs,0021100029,1610612746,1610612759,1,2.19,0.476,0.385,0.811,0.2,0.64,0.52,0.31,0.17,0.06,0.4,2.03,0.426,0.349,0.676,0.24,0.52,0.41,0.23,0.18,0.14,-0.06,170,-200
12/28/2011,Jazz,Nuggets,0021100030,1610612762,1610612743,1,2.42,0.515,0.348,0.767,0.23,0.73,0.49,0.34,0.33,0.06,0.41,1.78,0.396,0.276,0.69,0.27,0.61,0.47,0.33,0.17,0.09,-0.44,700,-1200
12/28/2011,76ers,Suns,0021100031,1610612755,1610612756,0,1.74,0.404,0.194,0.811,0.21,0.67,0.4,0.28,0.13,0.06,-0.22,2.15,0.479,0.417,0.784,0.22,0.77,0.45,0.33,0.18,0.09,0.17,-125,105
12/28/2011,Knicks,Warriors,0021100032,1610612752,1610612744,1,1.92,0.436,0.288,0.709,0.24,0.67,0.41,0.29,0.22,0.12,0.02,1.92,0.438,0.317,0.763,0.13,0.52,0.33,0.32,0.17,0.11,-0.13,-260,220
12/29/2011,Nets,Magic,0021100033,1610612751,1610612753,1,1.99,0.449,0.366,0.672,0.22,0.66,0.43,0.29,0.11,0.08,0.12,1.65,0.363,0.254,0.761,0.25,0.69,0.3,0.34,0.12,0.09,-0.32,600,-800
12/29/2011,Spurs,Rockets,0021100034,1610612759,1610612745,1,2.08,0.473,0.283,0.818,0.25,0.66,0.49,0.22,0.11,0.14,0.11,2.05,0.441,0.319,0.754,0.28,0.59,0.43,0.29,0.14,0.09,0.13,-155,135
12/29/2011,Mavericks,Thunder,0021100035,1610612742,1610612760,1,2.1,0.466,0.419,0.803,0.17,0.68,0.39,0.37,0.14,0.14,0.09,2.01,0.407,0.321,0.782,0.19,0.55,0.47,0.34,0.24,0.03,-0.24,190,-230
12/29/2011,Bulls,Kings,0021100036,1610612741,1610612758,0,1.92,0.421,0.392,0.604,0.29,0.57,0.28,0.33,0.09,0.08,-0.16,1.99,0.45,0.412,0.702,0.26,0.63,0.43,0.36,0.16,0.08,0.02,-380,310
12/29/2011,Nuggets,Trail Blazers,0021100037,1610612743,1610612757,1,2.22,0.456,0.351,0.824,0.27,0.73,0.48,0.33,0.14,0.16,0.24,2.32,0.476,0.303,0.796,0.17,0.67,0.44,0.28,0.33,0.06,0.21,200,-240
12/29/2011,Knicks,Lakers,0021100038,1610612752,1610612747,1,1.94,0.458,0.313,0.724,0.23,0.67,0.43,0.3,0.14,0.16,0.17,1.85,0.398,0.302,0.79,0.15,0.51,0.33,0.31,0.19,0.12,-0.2,150,-170
12/30/2011,Magic,Hornets,0021100039,1610612753,1610612766,0,1.88,0.426,0.308,0.727,0.29,0.72,0.47,0.35,0.1,0.13,-0.15,2.02,0.447,0.384,0.647,0.23,0.68,0.44,0.28,0.1,0.1,0.2,-175,155
12/30/2011,Cavaliers,Pacers,0021100040,1610612739,1610612754,1,1.87,0.382,0.39,0.797,0.32,0.72,0.37,0.3,0.19,0.14,0.16,1.96,0.449,0.316,0.691,0.24,0.6,0.42,0.32,0.15,0.09,0.01,425,-550
12/30/2011,Pistons,Celtics,0021100041,1610612765,1610612738,1,2.01,0.478,0.491,0.811,0.18,0.53,0.46,0.35,0.13,0.14,-0.09,1.76,0.413,0.339,0.851,0.22,0.49,0.35,0.31,0.13,0.06,-0.27,500,-700
